Handel,Title,URL,Collection,Model/EAN/SKU,Type,Category,Sub Category,Price,Color,Size,Style Description,Img1,Img2,Img3,Img4
knitted-gloves,Knitted Gloves,https://www.marksandspencer.com/ae/knitted-gloves/p/P60188131.html?dwvar_P60188131_color=F0,M&S Collection,T09/2241M,Jumpers & Cardigans,https://www.marksandspencer.com/ae/silver-plated-heart-drop-earrings/p/000000000060137132.html,All Baby Boys,AED75.00,Navy,S-M,"<li>Product Style: Gloves</li> 
<li>Thermowarmth</li>
<li>100% acrylic,Lining - 100% polyester</li>
<li>Machine washable even at 30º</li>",https://asset1.cxnmarksandspencer.com/is/image/mands/SD_03_T09_2241M_Y0_X_EC_0?$V2$&hei=520&fmt=pjpeg,-,-,-
knitted-gloves,Knitted Gloves,https://www.marksandspencer.com/ae/knitted-gloves/p/P60188131.html?dwvar_P60188131_color=F0,M&S Collection,T09/2241M,Jumpers & Cardigans,https://www.marksandspencer.com/ae/silver-plated-heart-drop-earrings/p/000000000060137132.html,All Baby Boys,AED75.00,Navy,L-XL,"<li>Product Style: Gloves</li> 
<li>Thermowarmth</li>
<li>100% acrylic,Lining - 100% polyester</li>
<li>Machine washable even at 30º</li>",https://asset1.cxnmarksandspencer.com/is/image/mands/SD_03_T09_2241M_Y0_X_EC_0?$V2$&hei=520&fmt=pjpeg,-,-,-
cotton-rich-straight-leg-jeans,Cotton Rich Straight Leg Jeans,https://www.marksandspencer.com/ae/cotton-rich-straight-leg-jeans/p/P60200604.html?dwvar_P60200604_color=Y0,Limited Edition,T57/7621L,Jumpers & Cardigans,https://www.marksandspencer.com/ae/silver-plated-heart-drop-earrings/p/000000000060137132.html,All Baby Boys,AED250.00,Black,6-Long,"<li>Model Height: 5ft 10""/178cm</li> 
<li>Model is wearing size: 8</li>
<li>Product Style: Ankle grazer</li> 
<li>Straight fit</li> 
<li>Button and zip fastening</li> 
<li>Mid rise</li> 
<li>The length measurement above relates to a size 12 regular. Length will vary slightly according to size</li> 
<li>Added stretch</li>
<li>99% cotton, 1% elastane</li>
<li>Machine washable</li> 
<li>Tumble dry</li>",https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_90?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_0?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_1?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_2?$V2$&hei=520&fmt=pjpeg
cotton-rich-straight-leg-jeans,Cotton Rich Straight Leg Jeans,https://www.marksandspencer.com/ae/cotton-rich-straight-leg-jeans/p/P60200604.html?dwvar_P60200604_color=Y0,Limited Edition,T57/7621L,Jumpers & Cardigans,https://www.marksandspencer.com/ae/silver-plated-heart-drop-earrings/p/000000000060137132.html,All Baby Boys,AED250.00,Black,6-Regular,"<li>Model Height: 5ft 10""/178cm</li> 
<li>Model is wearing size: 8</li>
<li>Product Style: Ankle grazer</li> 
<li>Straight fit</li> 
<li>Button and zip fastening</li> 
<li>Mid rise</li> 
<li>The length measurement above relates to a size 12 regular. Length will vary slightly according to size</li> 
<li>Added stretch</li>
<li>99% cotton, 1% elastane</li>
<li>Machine washable</li> 
<li>Tumble dry</li>",https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_90?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_0?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_1?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_2?$V2$&hei=520&fmt=pjpeg
cotton-rich-straight-leg-jeans,Cotton Rich Straight Leg Jeans,https://www.marksandspencer.com/ae/cotton-rich-straight-leg-jeans/p/P60200604.html?dwvar_P60200604_color=Y0,Limited Edition,T57/7621L,Jumpers & Cardigans,https://www.marksandspencer.com/ae/silver-plated-heart-drop-earrings/p/000000000060137132.html,All Baby Boys,AED250.00,Black,6-Short,"<li>Model Height: 5ft 10""/178cm</li> 
<li>Model is wearing size: 8</li>
<li>Product Style: Ankle grazer</li> 
<li>Straight fit</li> 
<li>Button and zip fastening</li> 
<li>Mid rise</li> 
<li>The length measurement above relates to a size 12 regular. Length will vary slightly according to size</li> 
<li>Added stretch</li>
<li>99% cotton, 1% elastane</li>
<li>Machine washable</li> 
<li>Tumble dry</li>",https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_90?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_0?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_1?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_2?$V2$&hei=520&fmt=pjpeg
cotton-rich-straight-leg-jeans,Cotton Rich Straight Leg Jeans,https://www.marksandspencer.com/ae/cotton-rich-straight-leg-jeans/p/P60200604.html?dwvar_P60200604_color=Y0,Limited Edition,T57/7621L,Jumpers & Cardigans,https://www.marksandspencer.com/ae/silver-plated-heart-drop-earrings/p/000000000060137132.html,All Baby Boys,AED250.00,Black,8-Long,"<li>Model Height: 5ft 10""/178cm</li> 
<li>Model is wearing size: 8</li>
<li>Product Style: Ankle grazer</li> 
<li>Straight fit</li> 
<li>Button and zip fastening</li> 
<li>Mid rise</li> 
<li>The length measurement above relates to a size 12 regular. Length will vary slightly according to size</li> 
<li>Added stretch</li>
<li>99% cotton, 1% elastane</li>
<li>Machine washable</li> 
<li>Tumble dry</li>",https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_90?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_0?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_1?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_2?$V2$&hei=520&fmt=pjpeg
cotton-rich-straight-leg-jeans,Cotton Rich Straight Leg Jeans,https://www.marksandspencer.com/ae/cotton-rich-straight-leg-jeans/p/P60200604.html?dwvar_P60200604_color=Y0,Limited Edition,T57/7621L,Jumpers & Cardigans,https://www.marksandspencer.com/ae/silver-plated-heart-drop-earrings/p/000000000060137132.html,All Baby Boys,AED250.00,Black,8-Short,"<li>Model Height: 5ft 10""/178cm</li> 
<li>Model is wearing size: 8</li>
<li>Product Style: Ankle grazer</li> 
<li>Straight fit</li> 
<li>Button and zip fastening</li> 
<li>Mid rise</li> 
<li>The length measurement above relates to a size 12 regular. Length will vary slightly according to size</li> 
<li>Added stretch</li>
<li>99% cotton, 1% elastane</li>
<li>Machine washable</li> 
<li>Tumble dry</li>",https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_90?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_0?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_1?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_2?$V2$&hei=520&fmt=pjpeg
cotton-rich-straight-leg-jeans,Cotton Rich Straight Leg Jeans,https://www.marksandspencer.com/ae/cotton-rich-straight-leg-jeans/p/P60200604.html?dwvar_P60200604_color=Y0,Limited Edition,T57/7621L,Jumpers & Cardigans,https://www.marksandspencer.com/ae/silver-plated-heart-drop-earrings/p/000000000060137132.html,All Baby Boys,AED250.00,Black,10-Long,"<li>Model Height: 5ft 10""/178cm</li> 
<li>Model is wearing size: 8</li>
<li>Product Style: Ankle grazer</li> 
<li>Straight fit</li> 
<li>Button and zip fastening</li> 
<li>Mid rise</li> 
<li>The length measurement above relates to a size 12 regular. Length will vary slightly according to size</li> 
<li>Added stretch</li>
<li>99% cotton, 1% elastane</li>
<li>Machine washable</li> 
<li>Tumble dry</li>",https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_90?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_0?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_1?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_2?$V2$&hei=520&fmt=pjpeg
cotton-rich-straight-leg-jeans,Cotton Rich Straight Leg Jeans,https://www.marksandspencer.com/ae/cotton-rich-straight-leg-jeans/p/P60200604.html?dwvar_P60200604_color=Y0,Limited Edition,T57/7621L,Jumpers & Cardigans,https://www.marksandspencer.com/ae/silver-plated-heart-drop-earrings/p/000000000060137132.html,All Baby Boys,AED250.00,Black,10-Short,"<li>Model Height: 5ft 10""/178cm</li> 
<li>Model is wearing size: 8</li>
<li>Product Style: Ankle grazer</li> 
<li>Straight fit</li> 
<li>Button and zip fastening</li> 
<li>Mid rise</li> 
<li>The length measurement above relates to a size 12 regular. Length will vary slightly according to size</li> 
<li>Added stretch</li>
<li>99% cotton, 1% elastane</li>
<li>Machine washable</li> 
<li>Tumble dry</li>",https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_90?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_0?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_1?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_2?$V2$&hei=520&fmt=pjpeg
cotton-rich-straight-leg-jeans,Cotton Rich Straight Leg Jeans,https://www.marksandspencer.com/ae/cotton-rich-straight-leg-jeans/p/P60200604.html?dwvar_P60200604_color=Y0,Limited Edition,T57/7621L,Jumpers & Cardigans,https://www.marksandspencer.com/ae/silver-plated-heart-drop-earrings/p/000000000060137132.html,All Baby Boys,AED250.00,Black,12-Regular,"<li>Model Height: 5ft 10""/178cm</li> 
<li>Model is wearing size: 8</li>
<li>Product Style: Ankle grazer</li> 
<li>Straight fit</li> 
<li>Button and zip fastening</li> 
<li>Mid rise</li> 
<li>The length measurement above relates to a size 12 regular. Length will vary slightly according to size</li> 
<li>Added stretch</li>
<li>99% cotton, 1% elastane</li>
<li>Machine washable</li> 
<li>Tumble dry</li>",https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_90?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_0?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_1?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_01_T57_7621L_XB_X_EC_2?$V2$&hei=520&fmt=pjpeg
