Title,URL,Collection,Model/EAN/SKU,Type,Category,Sub Category,Price,Color,Size,Style Description,Img1,Img2,Img3,Img4
Zipped Through Jumper (3 Months -7 Years),https://www.marksandspencer.com/ae/zipped-through-jumper-3-months--7-years/p/P60172205.html?dwvar_P60172205_color=E5,-,T88/5569I,Jumpers & Cardigans,Baby,All Baby Boys,AED150.00,Bright Blue,3-6 months,"Product Style: Zip through Regular fit Zip closure fastening Lined Neck Shape: Hooded neck Sleeve length: Long sleeve 85% cotton, 15% polyester,Ribbing - 97% cotton, 3% elastane,Body lining - 100% polyester,Sleeve lining - 100% cotton,(exclusive of trimmings) Keep away from fire and flames Machine washable even at 30º Tumble dry",https://asset1.cxnmarksandspencer.com/is/image/mands/SD_04_T88_5569I_E5_X_EC_90?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_04_T88_5569I_E5_X_EC_0?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_04_T88_5569I_E5_X_EC_1?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_04_T88_5569I_E5_X_EC_2?$V2$&hei=520&fmt=pjpeg
Cotton Rich Printed Sweatshirt (3 Months - 7 Years),https://www.marksandspencer.com/ae/cotton-rich-printed-sweatshirt-3-months---7-years/p/P60183823.html?dwvar_P60183823_color=T0,-,T88/3403F,Jumpers & Cardigans,Baby,All Baby Boys,AED75.00,Grey,3-4 years,"Product Style: Sweatshirts Regular fit Pull on Neck Shape: Round neck Sleeve length: Long sleeve Ribbed trim 80% cotton, 15% polyester and 5% viscose,Ribbing 75% cotton, 15% polyester, 5% viscose and 5% elastane,(exclusive of trimmings) Keep away from fire and flames Machine washable even at 30º Tumble dry",https://asset1.cxnmarksandspencer.com/is/image/mands/SD_04_T88_3403F_T0_X_EC_90?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_04_T88_3403F_T0_X_EC_0?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_04_T88_3403F_T0_X_EC_1?$V2$&hei=520&fmt=pjpeg,https://asset1.cxnmarksandspencer.com/is/image/mands/SD_04_T88_3403F_T0_X_EC_5?$V2$&hei=520&fmt=pjpeg
-,-,-,-,-,-,-,AED150.00,-,4-5 years,-,-,-,-,-
-,-,-,-,-,-,-,AED150.00,-,5-6 years,-,-,-,-,-
-,-,-,-,-,-,-,AED75.00,-,3-6 months,-,-,-,-,-
-,-,-,-,-,-,-,Out of stock,-,2-3 years,-,-,-,-,-
-,-,-,-,-,-,-,AED75.00,-,6-7 years,-,-,-,-,-
-,-,-,-,-,-,-,Out of stock,-,3-4 years,-,-,-,-,-
-,-,-,-,-,-,-,Out of stock,-,6-7 years,-,-,-,-,-
-,-,-,-,-,-,-,Out of stock,-,6-9 months,-,-,-,-,-
-,-,-,-,-,-,-,Out of stock,-,9-12 months,-,-,-,-,-
-,-,-,-,-,-,-,Out of stock,-,12-18 months,-,-,-,-,-
-,-,-,-,-,-,-,Out of stock,-,18-24 months,-,-,-,-,-
-,-,-,-,-,-,-,AED75.00,-,6-9 months,-,-,-,-,-
-,-,-,-,-,-,-,AED75.00,-,9-12 months,-,-,-,-,-
-,-,-,-,-,-,-,Out of stock,-,2-3 years,-,-,-,-,-
-,-,-,-,-,-,-,Out of stock,-,4-5 years,-,-,-,-,-
-,-,-,-,-,-,-,Out of stock,-,5-6 years,-,-,-,-,-
-,-,-,-,-,-,-,Out of stock,-,12-18 months,-,-,-,-,-
-,-,-,-,-,-,-,Out of stock,-,18-24 months,-,-,-,-,-
