category,type,subcategory,url
Christmas,Baubles & Tree Decorations,NA,https://www.marksandspencer.com/ae/l/christmas/baubles-and-tree-decorations/
Christmas,Christmas Lights,NA,https://www.marksandspencer.com/ae/l/christmas/christmas-lights/
Christmas,Room Decorations,NA,https://www.marksandspencer.com/ae/l/christmas/room-decorations/
Christmas,Wreaths & Garlands,NA,https://www.marksandspencer.com/ae/l/christmas/wreaths-and-garlands/
Christmas,Clothing,Top Gifts for Her,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-her/clothing/
Christmas,Slippers,Top Gifts for Her,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-her/slippers/
Christmas,Handbags & Accessories,Top Gifts for Her,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-her/handbags-and-accessories/
Christmas,Nightwear,Top Gifts for Her,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-her/nightwear/
Christmas,Home,Top Gifts for Her,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-her/home/
Christmas,Partywear,Top Gifts for Her,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-her/partywear/
Christmas,Christmas Jumpers & Novelty,Top Gifts for Her,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-her/christmas-jumpers-and-novelty/
Christmas,Stocking Fillers for Her,Top Gifts for Her,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-her/stocking-fillers-for-her/
Christmas,Dad,Top Gifts for Him,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-him/dad/
Christmas,Boyfriend,Top Gifts for Him,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-him/boyfriend/
Christmas,Socks,Top Gifts for Him,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-him/socks/
Christmas,Brother,Top Gifts for Him,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-him/brother/
Christmas,Husband,Top Gifts for Him,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-him/husband/
Christmas,Grandad,Top Gifts for Him,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-him/grandad/
Christmas,Teenage Boys,Top Gifts for Him,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-him/teenage-boys/
Christmas,Clothing,Top Gifts for Him,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-him/clothing/
Christmas,Partywear,Top Gifts for Him,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-him/partywear/
Christmas,Christmas jumpers,Top Gifts for Him,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-him/christmas-jumpers/
Christmas,Stocking Fillers for him,Top Gifts for Him,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-him/stocking-fillers-for-him/
Christmas,Slippers & Socks,Top Gifts for Him,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-him/slippers-and-socks/
Christmas,Accessories,Top Gifts for Him,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-him/accessories/
Christmas,Home,Top Gifts for Him,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-him/home/
Christmas,Top Gifts for Home,NA,https://www.marksandspencer.com/ae/l/christmas/top-gifts-for-home/
